2017-12-08 12:52:13.086566	SELL	TXMD	12552
2017-12-08 13:05:02.584505	BUY	GILD	1065
2017-12-08 13:05:09.961987	SELL	GILD	1065
2017-12-08 13:05:11.746481	BUY	AKTX	15392
2017-12-08 13:19:59.431390	SELL	AKTX	15392
2017-12-08 13:20:00.148085	BUY	ORCL	1586
2017-12-08 13:33:04.503450	BUY	VRX	4055
2017-12-08 13:33:26.745533	SELL	VRX	4055
2017-12-08 13:33:27.630191	BUY	SAGE	483
2017-12-08 13:40:41.714737	SELL	SAGE	483
2017-12-08 13:40:42.662851	BUY	APO	2492
2017-12-08 14:21:26.055593	BUY	VRX	4049
2017-12-08 14:21:32.102978	SELL	VRX	4049
2017-12-08 14:32:30.810114	BUY	MU	1851
2017-12-08 14:32:36.648050	SELL	MU	1851
2017-12-08 14:34:38.443581	BUY	AAPL	467
2017-12-08 14:34:54.957370	SELL	AAPL	467
2017-12-08 14:35:10.146361	BUY	DAVE	15068
2017-12-08 14:37:34.681756	SELL	DAVE	15068
2017-12-08 14:37:36.896235	BUY	GBT	4898
2017-12-08 14:40:20.911868	SELL	GBT	4898
2017-12-08 14:40:22.324669	BUY	DAVE	14898
2017-12-08 14:49:47.867143	SELL	DAVE	14898
2017-12-08 14:49:48.625175	BUY	GBT	4927
2017-12-08 14:58:22.200135	SELL	GBT	4927
2017-12-08 14:58:23.240185	BUY	DAVE	15016
